Birth frame,Birth ID,End frame,End ID,End of Movie,Died1,FUCCI_ON_FRAME,Questionable1,Questionable2,Notes,Birthtimeh,Lifetimeh,EOM,died,G1_time,S_G2_M_time,Match
33,A,298,A,,,240,,,,8.5,68.5,FALSE,FALSE,53.5,15,
33,A,391,A,,,314,,,,8.5,92.5,FALSE,FALSE,72.6,19.9,
33,B,376,A,,,286,,,,8.5,88.6,FALSE,FALSE,65.4,23.3,
33,B,342,A,,,291,,,,8.5,79.8,FALSE,FALSE,66.7,13.2,
33,C,454,,TRUE,,,,,,8.5,108.8,TRUE,FALSE,108.8,0,
33,C,454,,TRUE,,,,,,8.5,108.8,TRUE,FALSE,108.8,0,
33,D,147,A,,,114,,,,8.5,29.5,FALSE,FALSE,20.9,8.5,
33,D,454,,TRUE,,,,,,8.5,108.8,TRUE,FALSE,108.8,0,
33,E,299,A,,,243,TRUE,TRUE,Background got in the way of the cell,8.5,68.7,FALSE,FALSE,54.3,14.5,
33,E,376,B,,,325,TRUE,TRUE,Background got in the way of the cell,8.5,88.6,FALSE,FALSE,75.4,13.2,
33,F,312,A,,,245,,,,8.5,72.1,FALSE,FALSE,54.8,17.3,
33,F,454,,TRUE,,408,,,FUCCI still on at the end of the movie; the cell has not divided yet ,8.5,108.8,TRUE,FALSE,96.9,11.9,
34,A,86,B,,,56,,,,8.8,13.4,FALSE,FALSE,5.7,7.8,
34,A,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,B,327,A,,,267,,,,8.8,75.7,FALSE,FALSE,60.2,15.5,
34,B,366,C,,,307,,,,8.8,85.8,FALSE,FALSE,70.5,15.2,
34,C,395,A,,,324,,,,8.8,93.3,FALSE,FALSE,74.9,18.3,
34,C,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,D,454,,TRUE,,425,,,FUCCI still on at the end of the movie; the cell has not divided yet ,8.8,108.5,TRUE,FALSE,101,7.5,
34,D,454,,TRUE,,428,,,FUCCI still on at the end of the movie; the cell has not divided yet ,8.8,108.5,TRUE,FALSE,101.8,6.7,
34,E,420,A,,,364,,,,8.8,99.7,FALSE,FALSE,85.3,14.5,
34,E,454,,TRUE,,399,,,FUCCI still on at the end of the movie; the cell has not divided yet ,8.8,108.5,TRUE,FALSE,94.3,14.2,
34,F,394,B,,TRUE,281,,,,8.8,93,FALSE,TRUE,63.8,29.2,
34,F,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,G,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,G,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,H,359,A,,,296,,,,8.8,84,FALSE,FALSE,67.7,16.3,
34,H,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
34,I,332,A,,,258,,,,8.8,77,FALSE,FALSE,57.9,19.1,
34,I,454,,TRUE,,,,,,8.8,108.5,TRUE,FALSE,108.5,0,
35,A,104,A,,,68,,,,9,17.8,FALSE,FALSE,8.5,9.3,
35,A,115,A,,,74,,,,9,20.7,FALSE,FALSE,10.1,10.6,
35,B,210,A,,,159,,,,9,45.2,FALSE,FALSE,32,13.2,
35,B,328,A,,,278,,,,9,75.7,FALSE,FALSE,62.8,12.9,
35,C,301,A,,,248,,,,9,68.7,FALSE,FALSE,55,13.7,
35,C,454,,TRUE,,,,,,9,108.2,TRUE,FALSE,108.2,0,
35,D,336,A,,,282,,,,9,77.8,FALSE,FALSE,63.8,14,
35,D,454,,TRUE,,440,,,FUCCI still on at the end of the movie; the cell has not divided yet ,9,108.2,TRUE,FALSE,104.6,3.6,
36,A,240,A,,,186,,,,9.3,52.7,FALSE,FALSE,38.8,14,
36,A,393,B,,,334,,,,9.3,92.2,FALSE,FALSE,77,15.2,
36,B,360,A,,,314,,,,9.3,83.7,FALSE,FALSE,71.8,11.9,
36,B,376,C,,,318,,,,9.3,87.8,FALSE,FALSE,72.9,15,
36,C,454,,TRUE,,217,,,FUCCI goes off at frame 328 without the cell dividing,9.3,108,TRUE,FALSE,46.8,61.2,
36,C,454,,TRUE,,438,,,FUCCI still on at the end of the movie; the cell has not divided yet ,9.3,108,TRUE,FALSE,103.9,4.1,
36,D,454,,TRUE,,,,,,9.3,108,TRUE,FALSE,108,0,
36,D,454,,TRUE,,,,,,9.3,108,TRUE,FALSE,108,0,
37,A,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,A,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,B,307,B,,,257,,,,9.6,69.8,FALSE,FALSE,56.8,12.9,
37,B,454,,TRUE,,392,,,FUCCI still on at the end of the movie; the cell has not divided yet ,9.6,107.7,TRUE,FALSE,91.7,16,
37,C,222,A,,,173,,,,9.6,47.8,FALSE,FALSE,35.1,12.7,
37,C,293,A,,,228,,,,9.6,66.1,FALSE,FALSE,49.3,16.8,
37,D,422,A,,,373,,,,9.6,99.5,FALSE,FALSE,86.8,12.7,
37,D,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,E,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,E,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,F,307,C,,,245,,,,9.6,69.8,FALSE,FALSE,53.7,16,
37,F,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,G,338,A,,,284,,,,9.6,77.8,FALSE,FALSE,63.8,14,
37,G,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,H,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
37,H,454,,TRUE,,,,,,9.6,107.7,TRUE,FALSE,107.7,0,
38,A,372,B,,,313,TRUE,TRUE,"FUCCI may have come on earlier, the cell was partially out of the focal plane",9.8,86.3,FALSE,FALSE,71,15.2,
38,A,428,A,,,374,,,,9.8,100.8,FALSE,FALSE,86.8,14,
38,B,454,,TRUE,,,,,,9.8,107.5,TRUE,FALSE,107.5,0,
